Concept,FHIR Imaging Study Manifest,DICOM KOS Manifest
Study series.seriesRetrieveEndpoint.locationUID,MadoImagingStudy.series.endpoint -> MadoWadoEndpoint.extension[retrieve-location-uid],"CurrentRequestedProcedureEvidenceSequence (0040,8375) -> ReferencedSeriesSequence (0008,1115) -> Retrieve Location Uid (0040,E011)"
Study series.instancesInTheSeries.instanceUid,MadoImagingStudy.series.instance.uid,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE or COMPOSITE) -> Referenced SOP Sequence (0008,1199) -> Referenced SOP Instance UID (0008,1150)"
Study series.instancesInTheSeries.sopClass,MadoImagingStudy.series.instance.sopClass,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE or COMPOSITE) -> Referenced SOP Sequence (0008,1199) -> Referenced SOP Class UID (0008,1155)"
Study series.instancesInTheSeries.instanceNumber,MadoImagingStudy.series.instance.number,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE) -> EV (113609, DCM, ""Instance Number"")"
Study series.instancesInTheSeries.numberOfFrames,MadoImagingStudy.series.instance.extension[number-of-frames],"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (IMAGE) -> EV (121140, DCM, ""Number of Frames"")"
Study series.instancesInTheSeries.koDocumentTitle,MadoImagingStudy.series.instance.extension[ko-document-title],"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (COMPOSITE) EV (121144, DCM, ""Document Title"")"
Study series.instancesInTheSeries.koDescription,MadoImagingStudy.series.instance.title,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (COMPOSITE) EV (113012, DCM, "" Key Object Description "" )"
Patient Name,MadoImagingStudy.subject->MadoPatient.name,"Patient Name (0010,0010)"
Patient ID,MadoImagingStudy.subject->MadoPatient.identifier,"Patient ID (0010,0020) & Type of Patient ID (0010,0022) & Issuer of Patient ID Qualifiers Sequence (0010,0026)"
Patient Birthdate,MadoImagingStudy.subject->MadoPatient.birthDate,"Patient Birth Date (0010,0030)"
Patient Sex,MadoImagingStudy.subject->MadoPatient.gender,"Patient Sex (0010,0040)"
RequestedProcedure Accession Number,"MadoImagingStudy.basedOn[order].identifier
basedOn[order]->MadoRequestedProcedure.identifier[accession-number]","Accession Number (0008,0050) & Issuer of Accession Number Sequence (0008,0051)"
RequestedProcedure Placer Order Number,MadoImagingStudy.basedOn[order]->MadoRequestedProcedure.identifier[placer],"Referenced Request Sequence (0040,A370) -> Order Placer Identifier Sequence (0040,0026)"
MADO Author manufacturer name,MadoComposition.author[source-device] -> MadoCreator.manufacturer,"Manufacturer (0008,0070)"
MADO Author institution name,MadoComposition.author[source-organization] -> MadoCreatorOrganization.name,"Institution Name (0008,0080) (V2 XON encoding)"
MADO Author institution id,MadoComposition.author[source-organization] -> MadoCreatorOrganization.identifier,"Institution Name (0008,0080) (V2 XON encoding)"
Manifest creationTime,MadoFhirBundle.timestamp,"Instance Creation Date (0008,0012), Instance Creation Time (0008,0013)"
Manifest identifier,MadoFhirBundle.identifier,SOP Instance UID (0008,0018)
